stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
Route10-1020_Paisley Rd. at Heath Rd.,1020,Paisley Rd. at Heath Rd.,,43.534478,-80.271486,,,,
Route10-1021_Paisley Rd. at Goldie Ave.,1021,Paisley Rd. at Goldie Ave.,,43.536911,-80.268142,,,,
Route10-1022_Paisley Rd. at Alma St.,1022,Paisley Rd. at Alma St.,,43.538742,-80.265622,,,,
Route10-1023_Paisley Rd. at Edinburgh Rd. N.,1023,Paisley Rd. at Edinburgh Rd. N.,,43.540451,-80.263289,,,,
Route10-1024_Paisley St. at Yorkshire St. N.,1024,Paisley St. at Yorkshire St. N.,,43.542516,-80.258347,,,,
Route10-1025_Paisley St. at Glasgow St.,1025,Paisley St. at Glasgow St.,,43.543289,-80.256822,,,,
Route10-1026_Paisley St. at Norfolk St.,1026,Paisley St. at Norfolk St.,,43.545130,-80.253188,,,,
Route10-1027_St George's Square IF Shoe store,1027,St George's Square IF Shoe store,,43.545578,-80.249017,,,,
Route10-1028_Guelph Central Station,1028,Guelph Central Station,,43.545180,-80.246050,,,,
Route11-1100_Guelph Central Station,1100,Guelph Central Station,,43.545180,-80.246050,,,,
Route11-1101_Norfolk St. at Albion,1101,Norfolk St. at Albion,,43.544122,-80.250720,,,,
Route11-1102_Suffolk St. W. at Norfolk St.,1102,Suffolk St. W. at Norfolk St.,,43.547351,-80.254939,,,,
Route11-1103_Suffolk St. W. at Dublin St.,1103,Suffolk St. W. at Dublin St.,,43.546415,-80.256760,,,,
Route11-1104_Suffolk St. W. at Glasgow St.,1104,Suffolk St. W. at Glasgow St.,,43.545548,-80.258462,,,,
Route11-1105_Suffolk St. W. at Yorkshire St. N.,1105,Suffolk St. W. at Yorkshire St. N.,,43.544199,-80.260931,,,,
Route11-1106_Suffolk St. W. at Edinburgh Rd. N.,1106,Suffolk St. W. at Edinburgh Rd. N.,,43.542564,-80.264131,,,,
Route11-1107_Edinburgh Rd. N. at Mercer St.,1107,Edinburgh Rd. N. at Mercer St.,,43.542856,-80.265335,,,,
Route11-1108_Willow Rd. at Dawson Rd.,1108,Willow Rd. at Dawson Rd.,,43.545391,-80.271529,,,,
Route11-1109_Dawson Rd. at Shelldale Cres.,1109,Dawson Rd. at Shelldale Cres.,,43.545826,-80.274188,,,,
Route11-1110_Dawson Rd. at Dawson Road Medical Clinic,1110,Dawson Rd. at Dawson Road Medical Clinic,,43.549314,-80.279025,,,,
Route11-1111_229 Speedvale Ave. W.,1111,229 Speedvale Ave. W.,,43.547790,-80.282995,,,,
Route11-1112_Speedvale Ave. W. at Silvercreek Pkwy. N.,1112,Speedvale Ave. W. at Silvercreek Pkwy. N.,,43.545027,-80.286831,,,,
Route11-1113_361 Speedvale Ave. W.,1113,361 Speedvale Ave. W.,,43.542554,-80.290189,,,,
Route11-1131_Marksham Rd. south of Speedvale Ave. W.,1131,Marksham Rd. south of Speedvale Ave. W.,,43.540700,-80.292026,,,,
